algorithm,name,size,un,methods,basic_blocks,instructions,instructions_per_basic_block,instructions_per_method,basic_blocks_per_method
DLX,SUDOKU_PUZZLE_16x16_04,16,128,12261,723534068,1780828670,2.461292078371077,145243.3463828399,59011.01606720496
DLX,SUDOKU_PUZZLE_16x16_05,25,312,27191,227809642,1387516060,6.090681886063453,51028.5042845059,8378.12665955647
DLX,SUDOKU_PUZZLE_16x16_06,25,312,35322,1883457774,5258238346,2.791800495124878,148865.81580884435,53322.51214540513
CP,SUDOKU_PUZZLE_9x9_101,9,41,472,52050998,121463920,2.333556025188989,257338.81355932204,110277.53813559322
CP,SUDOKU_PUZZLE_9x9_102,9,41,498,62637180,146166367,2.3335400316553203,293506.7610441767,125777.46987951807
CP,SUDOKU_PUZZLE_9x9_103,9,41,521,71458954,166751704,2.333531274471216,320060.8522072937,137157.30134357006
CP,SUDOKU_PUZZLE_9x9_104,9,41,466,49404379,115287816,2.333554602518129,247398.7467811159,106017.98068669529
CP,SUDOKU_PUZZLE_9x9_105,9,41,474,52933011,123521514,2.3335440713924247,260593.91139240508,111673.01898734177
CP,SUDOKU_PUZZLE_16x16_01,16,128,1555,284954991,664956911,2.3335506729201314,427625.0231511254,183250.79807073955
CP,SUDOKU_PUZZLE_16x16_02,16,128,2449,594606144,1387533490,2.333533724804566,566571.4536545529,242795.48550428747
CP,SUDOKU_PUZZLE_16x16_03,16,128,1472,247020607,576437665,2.333561041731227,391601.6745923913,167812.91236413043
CP,SUDOKU_PUZZLE_16x16_04,16,128,1389,212615364,496153723,2.333574176699667,357202.10439164867,153070.81641468682
CP,SUDOKU_PUZZLE_16x16_05,25,312,7078,2161415046,5043755426,2.3335432199077975,712596.1325233117,305370.87397569936
CP,SUDOKU_PUZZLE_16x16_06,25,312,3903,807236594,1883759970,2.333590900117197,482644.1122213682,206824.64616961312
BFS,SUDOKU_PUZZLE_9x9_101,9,20,415,33525474,78232814,2.333533419989826,188512.8048192771,80784.27469879518
BFS,SUDOKU_PUZZLE_9x9_102,9,20,434,39700603,92641838,2.333512113153546,213460.45622119817,91476.04377880185
BFS,SUDOKU_PUZZLE_9x9_103,9,20,600,79399716,185278885,2.3334955631327445,308798.14166666666,132332.86
BFS,SUDOKU_PUZZLE_9x9_104,9,20,428,37936212,88524683,2.3335140313956493,206833.3714953271,88636.00934579439
BFS,SUDOKU_PUZZLE_9x9_105,9,20,411,33525283,78232025,2.333523180102611,190345.5596107056,81570.03163017031
BFS,SUDOKU_PUZZLE_16x16_01,16,64,1346,183503308,428207821,2.333515540766164,318133.59658246656,136332.32392273404
BFS,SUDOKU_PUZZLE_16x16_02,16,64,1294,164978384,384982744,2.3335344586718705,297513.71251931996,127494.88717156104
BFS,SUDOKU_PUZZLE_16x16_03,16,64,1204,142040683,331457107,2.333536420688712,275296.60049833887,117973.9892026578
BFS,SUDOKU_PUZZLE_16x16_04,16,64,1127,119986213,279994498,2.3335555894242614,248442.32298136645,106465.14019520851
BFS,SUDOKU_PUZZLE_16x16_05,25,156,2080,176451875,411761750,2.333564038353234,197962.3798076923,84832.63221153847
BFS,SUDOKU_PUZZLE_16x16_06,25,156,3597,574343031,1340267644,2.333566477974728,372607.07367250486,159672.79149291076
DLX,SUDOKU_PUZZLE_9x9_101,9,20,3366,222523414,524629278,2.3576362979942416,155861.3422459893,66109.15448603684
DLX,SUDOKU_PUZZLE_9x9_102,9,20,3366,222523414,524629278,2.3576362979942416,155861.3422459893,66109.15448603684
DLX,SUDOKU_PUZZLE_9x9_103,9,20,3386,226033597,532692013,2.3566939608539696,157321.91760189013,66755.34465445954
DLX,SUDOKU_PUZZLE_9x9_104,9,20,3366,222523414,524629278,2.3576362979942416,155861.3422459893,66109.15448603684
DLX,SUDOKU_PUZZLE_9x9_105,9,20,3366,222523414,524629278,2.3576362979942416,155861.3422459893,66109.15448603684
DLX,SUDOKU_PUZZLE_16x16_01,16,64,12228,712397901,1757193611,2.46659010158987,143702.45428524696,58259.56010794897
DLX,SUDOKU_PUZZLE_16x16_02,16,64,12224,712397760,1757192904,2.466589597362013,143749.4195026178,58278.61256544503
DLX,SUDOKU_PUZZLE_16x16_03,16,64,12208,712397460,1757190879,2.4665877935611955,143937.65391546526,58354.968872870246
DLX,SUDOKU_PUZZLE_16x16_04,16,64,12220,712397686,1757192400,2.4665891461079226,143796.43207855974,58297.6829787234
DLX,SUDOKU_PUZZLE_16x16_05,25,156,27095,205799833,1355449481,6.5862516078912465,50025.815870086735,7595.491160730762
DLX,SUDOKU_PUZZLE_16x16_06,25,156,35250,1861448051,5226171936,2.807584091961318,148260.19676595746,52807.03690780142
CP,SUDOKU_PUZZLE_9x9_101,9,20,430,33524945,78233134,2.3335797866335053,181937.52093023257,77964.98837209302
CP,SUDOKU_PUZZLE_9x9_102,9,20,444,39700163,92642613,2.333557496980554,208654.5337837838,89414.78153153154
CP,SUDOKU_PUZZLE_9x9_103,9,20,521,71458954,166751704,2.333531274471216,320060.8522072937,137157.30134357006
CP,SUDOKU_PUZZLE_9x9_104,9,20,440,37935732,88525236,2.333558134584038,201193.71818181817,86217.57272727272
CP,SUDOKU_PUZZLE_9x9_105,9,20,430,33524901,78232933,2.333576853813826,181937.0534883721,77964.88604651163
CP,SUDOKU_PUZZLE_16x16_01,16,64,1325,183501344,428210608,2.3335557040933717,323177.81735849055,138491.58037735848
CP,SUDOKU_PUZZLE_16x16_02,16,64,1250,150860655,352045046,2.3335776051085024,281636.0368,120688.524
CP,SUDOKU_PUZZLE_16x16_03,16,64,1229,142038471,331457840,2.3335779219983297,269697.1847030106,115572.39300244101
CP,SUDOKU_PUZZLE_16x16_04,16,64,1179,119984069,279995155,2.333602763546884,237485.28837998305,101767.65818490247
CP,SUDOKU_PUZZLE_16x16_05,25,156,3427,683717746,1595490037,2.333550717871816,465564.6445871024,199509.11759556463
CP,SUDOKU_PUZZLE_16x16_06,25,156,3063,441999188,1031452740,2.3336077712432357,336745.9157688541,144302.70584394384
